,Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Years To Unicorn,Funding_num,Valuation_num
537,Rokt,$2B,2021-12-16,Internet software & services,New York,United States,North America,2012,$487M,"Square Peg Capital, TDM Growth Partners, Tiger Global Management",9,4870000.0,200000000.0
538,Starling Bank,$2B,2021-03-08,Fintech,London,United Kingdom,Europe,2014,$791M,"JTC Group, Qatar Investment Authority, Fidelity Investment",7,7910000.0,200000000.0
539,Ankorstore,$2B,2022-01-10,E-commerce & direct-to-consumer,Paris,France,Europe,2019,$422M,"Global Founders Capital, Aglae Ventures, Alven Capital",3,4220000.0,200000000.0
540,4Paradigm,$2B,2018-12-19,Artificial intelligence,Beijing,China,Asia,2015,$1B,"Sequoia Capital China, China Construction Bank, Bank of China",3,100000000.0,200000000.0
541,Advance Intelligence Group,$2B,2021-09-23,Artificial intelligence,,Singapore,Asia,2016,$536M,"Vision Plus Capital, GSR Ventures, ZhenFund",5,5360000.0,200000000.0
542,Aiven,$2B,2021-10-18,Internet software & services,Helsinki,Finland,Europe,2016,$210M,"Institutional Venture Partners, Atomico, Earlybird Venture Capital",5,2100000.0,200000000.0
543,Akulaku,$2B,2022-02-15,E-commerce & direct-to-consumer,Jakarta,Indonesia,Asia,2014,$438M,"DCM Ventures, IDG Capital, Siam Commercial Bank",8,4380000.0,200000000.0
544,Apeel Sciences,$2B,2020-05-26,Other,Goleta,United States,North America,2012,$640M,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz",8,6400000.0,200000000.0
545,AppsFlyer,$2B,2020-01-21,Mobile & telecommunications,San Francisco,United States,North America,2011,$293M,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital",9,2930000.0,200000000.0
546,Avant,$2B,2012-12-17,Artificial intelligence,Chicago,United States,North America,2012,$658M,"RRE Ventures, Tiger Global, August Capital",0,6580000.0,200000000.0
547,Aviatrix,$2B,2021-09-08,Internet software & services,Santa Clara,United States,North America,2014,$341M,"Ignition Partners, Formation 8, CRV",7,3410000.0,200000000.0
548,BlaBlaCar,$2B,2015-09-16,Auto & transportation,Paris,France,Europe,2006,$449M,"Accel Partners, Index Ventures, Insight Venture Partners",9,4490000.0,200000000.0
549,Black Sesame Technologies,$2B,2021-09-22,Artificial intelligence,Shanghai,China,Asia,2016,$115M,"Northern Light Venture Capital, Xiaomi, FutureX Capital",5,1150000.0,200000000.0
550,Bunq,$2B,2021-06-18,Fintech,Amsterdam,Netherlands,Europe,2013,$281M,Undisclosed,8,2810000.0,200000000.0
551,Calm,$2B,2019-02-06,Consumer & retail,San Francisco,United States,North America,2012,$218M,"Insight Venture Partners, TPG Growth, Sound Ventures",7,2180000.0,200000000.0
552,Chipper Cash,$2B,2021-05-31,Fintech,San Francisco,United States,North America,2017,$302M,"Deciens Capital, Bezos Expeditions, 500 Startups",4,3020000.0,200000000.0
553,Clearco,$2B,2021-04-20,Fintech,Toronto,Canada,North America,2015,$433M,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners",6,4330000.0,200000000.0
554,ClickHouse,$2B,2021-10-28,Data management & analytics,Portola Valley,United States,North America,2012,$300M,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital",9,3000000.0,200000000.0
555,Clip,$2B,2021-06-10,Fintech,Mexico City,Mexico,North America,2012,$381M,"Alta Ventures Mexico, General Atlantic, SoftBank Group",9,3810000.0,200000000.0
556,Cloudinary,$2B,2022-02-15,Internet software & services,Santa Clara,United States,North America,2011,$100M,"Blackstone, Bessemer Venture Partners",11,1000000.0,200000000.0
557,Deliverr,$2B,2021-11-22,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2017,$456M,"8VC, Activant Capital, GLP Capital Partners",4,4560000.0,200000000.0
558,Divvy Homes,$2B,2021-08-13,Fintech,San Francisco,United States,North America,2017,$370M,"Andreessen Horowitz, Caffeinated Capital, SciFi VC",4,3700000.0,200000000.0
559,Dremio,$2B,2021-01-06,Data management & analytics,Santa Clara,United States,North America,2015,$410M,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners",6,4100000.0,200000000.0
560,Druva,$2B,2019-06-20,Data management & analytics,Sunnyvale,United States,North America,2007,$475M,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital",12,4750000.0,200000000.0
561,Everlaw,$2B,2020-03-10,Internet software & services,Oakland,United States,North America,2010,$299M,"K9 Ventures, Menlo Ventures, Andreessen Horowitz",10,2990000.0,200000000.0
562,Exotec,$2B,2022-01-17,Hardware,Croix,France,Europe,2015,$450M,"Breega Capital, Iris Capital, 360 Capital Partners",7,4500000.0,200000000.0
563,Formlabs,$2B,2018-08-01,Hardware,Somerville,United States,North America,2011,$251M,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group",7,2510000.0,200000000.0
564,Guoquan Shihui,$2B,2021-03-17,Consumer & retail,Shanghai,China,Asia,2017,$523M,"Tiantu Capital, CMB International Capital, Vision Knight Capital",4,5230000.0,200000000.0
565,Hive,$2B,2021-04-21,Artificial intelligence,San Francisco,United States,North America,2013,$121M,"Tomales Bay Capital, Bain & Company, General Catalyst",8,1210000.0,200000000.0
566,HuiMin,$2B,2016-09-05,E-commerce & direct-to-consumer,Beijing,China,Asia,2013,$517M,"Zheshang Venture Capital, GP Capital, Western Capital Management",3,5170000.0,200000000.0
567,ISN,$2B,2020-12-17,"Supply chain, logistics, & delivery",Dallas,United States,North America,2001,Unknown,Blackstone,19,,200000000.0
568,Iterable,$2B,2021-06-15,Internet software & services,San Francisco,United States,North America,2013,$342M,"CRV, Blue Cloud Ventures, Index Ventures",8,3420000.0,200000000.0
569,Kajabi,$2B,2021-05-04,Internet software & services,Irvine,United States,North America,2010,$550M,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity",11,5500000.0,200000000.0
570,Kaseya,$2B,2019-03-27,Cybersecurity,Miami,United States,North America,2000,$545M,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund",19,5450000.0,200000000.0
571,Keep,$2B,2020-05-19,Mobile & telecommunications,Beijing,China,Asia,2014,$614M,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital",6,6140000.0,200000000.0
572,KRY,$2B,2021-04-27,Health,Stockholm,Sweden,Europe,2014,$569M,"Index Ventures, Creandum, Accel",7,5690000.0,200000000.0
573,Loggi,$2B,2019-06-05,"Supply chain, logistics, & delivery",Sao Paulo,Brazil,South America,2013,$507M,"Qualcomm Ventures, SoftBank Group, Monashees+",6,5070000.0,200000000.0
574,LTK,$2B,2021-11-22,Internet software & services,Dallas,United States,North America,2011,$315M,"SoftBank Group, Maverick Capital",10,3150000.0,200000000.0
575,Lunar,$2B,2021-07-12,Fintech,Aarhus,Denmark,Europe,2015,$448M,"SEED Capital, Greyhound Capital, Socii Capital",6,4480000.0,200000000.0
576,Mafengwo,$2B,2019-05-23,Travel,Beijing,China,Asia,2010,$503M,"Qiming Venture Partners, Capital Today, General Atlantic",9,5030000.0,200000000.0
577,Magic Leap,$2B,2014-10-21,Hardware,Plantation,United States,North America,2010,$3B,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz",4,300000000.0,200000000.0
578,Misfits Market,$2B,2021-04-21,E-commerce & direct-to-consumer,Pennsauken,United States,North America,2018,$527M,"Accel, D1 Capita Partners, Greenoaks Capital Management",3,5270000.0,200000000.0
579,Modern Treasury,$2B,2021-10-06,Fintech,San Francisco,United States,North America,2018,$183M,"Benchmark, Altimeter Capital, Quiet Capital",3,1830000.0,200000000.0
580,MURAL,$2B,2021-07-20,Internet software & services,San Francisco,United States,North America,2011,$192M,"Insight Partners, Tiger Global Management, Gradient Ventures",10,1920000.0,200000000.0
581,Mynt,$2B,2021-11-01,Fintech,Taguig City,Philippines,Asia,2015,$475M,"Insight Partners, Warburg Pincus, Ayala Corporation",6,4750000.0,200000000.0
582,Neo4j,$2B,2021-06-17,Data management & analytics,San Mateo,United States,North America,2007,$408M,"Eight Roads Ventures, One Peak Partners, Creandum",14,4080000.0,200000000.0
583,Netlify,$2B,2021-11-17,Internet software & services,San Francisco,United States,North America,2014,$202M,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures",7,2020000.0,200000000.0
584,OCSiAl,$2B,2019-03-04,Other,Leudelange,Luxembourg,Europe,2012,$285M,"A&NN, Rusnano",7,2850000.0,200000000.0
585,Opay,$2B,2021-08-23,Fintech,Lagos,Nigeria,Africa,2018,$570M,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China",3,5700000.0,200000000.0
586,Pipe,$2B,2021-05-19,Fintech,Miami,United States,North America,2019,$566M,"next47, MaC Venture Capital, FinVC",2,5660000.0,200000000.0
587,Preferred Networks,$2B,2018-05-17,Artificial intelligence,Tokyo,Japan,Asia,2014,$147M,"Toyota Motor Corporation, Mizuho Financial Group, FANUC",4,1470000.0,200000000.0
588,Quora,$2B,2017-04-21,Internet software & services,Mountain View,United States,North America,2009,$226M,"Y Combinator, Matrix Partners, Benchmark",8,2260000.0,200000000.0
589,Redis Labs,$2B,2020-08-25,Data management & analytics,Mountain View,United States,North America,2011,$356M,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures",9,3560000.0,200000000.0
590,SmartNews,$2B,2019-08-05,Mobile & telecommunications,Tokyo,Japan,Asia,2012,$410M,"Japan Post Capital, Globis Capital Partners, Atomico",7,4100000.0,200000000.0
591,Spring Health,$2B,2021-09-16,Health,New York,United States,North America,2016,$296M,"Rethink Impact, Work-Bench, RRE Ventures",5,2960000.0,200000000.0
592,StarkWare,$2B,2021-11-17,Cybersecurity,Netanya,Israel,Asia,2018,$161M,"Sequoia Capital, Paradigm, Pantera Capital",3,1610000.0,200000000.0
593,SWORD Health,$2B,2021-11-22,Health,New York,United States,North America,2015,$296M,"Khosla Ventures, Green Innovations, Founders Fund",6,2960000.0,200000000.0
594,Tier,$2B,2021-10-25,Travel,Berlin,Germany,Europe,2018,$587M,"Northzone Ventures, White Star Capital, Novator Partners",3,5870000.0,200000000.0
595,Trendy Group International,$2B,2012-02-13,Consumer & retail,Kowloon,Hong Kong,Asia,1999,$200M,L Capital Partners,13,2000000.0,200000000.0
596,Unqork,$2B,2020-10-06,Fintech,New York,United States,North America,2017,$365M,"Blackrock, capitalG, World Lab Innovation",3,3650000.0,200000000.0
597,VerbIT,$2B,2021-06-08,Artificial intelligence,New York,United States,North America,2016,$432M,"ClalTech, Vertex Ventures, Oryzn Capital",5,4320000.0,200000000.0
598,Virta Health,$2B,2020-12-02,Health,San Francisco,United States,North America,2015,$373M,"Caffeinated Capital, Obvious Ventures, Venrock",5,3730000.0,200000000.0
599,Xinchao Media,$2B,2018-04-09,Internet software & services,Chengdu,China,Asia,2007,$768M,"JD.com, Baidu, Vision Plus Capital",11,7680000.0,200000000.0
600,Xingyun Group,$2B,2020-09-24,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2015,$950M,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings",5,9500000.0,200000000.0
601,XtalPi,$2B,2021-08-11,Artificial intelligence,Shenzhen,China,Asia,2014,$786M,"Tencent Holdings, 5Y Capital, Sequoia Capital China",7,7860000.0,200000000.0
602,Zilch,$2B,2021-11-10,Fintech,London,United Kingdom,Europe,2018,$339M,"Gauss Ventures, Ventura Capital, dmg ventures",3,3390000.0,200000000.0
603,56PINGTAI,$1B,2021-01-25,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2013,$188M,"QF Capital, QC Capital, Unicom Innovation Venture Capital",8,1880000.0,100000000.0
604,Alzheon,$1B,2020-09-30,Health,Framingham,United States,North America,2013,$94M,"ARCH Venture Partners, Ally Bridge Group",7,940000.0,100000000.0
605,Aprogen,$1B,2019-05-31,Health,Seongnam-Si,South Korea,Asia,2000,$62M,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical",19,620000.0,100000000.0
606,Axtria,$1B,2021-05-13,Data management & analytics,Berkeley Heights,United States,North America,2009,$206M,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India",12,2060000.0,100000000.0
607,Cell C,$1B,2017-08-07,Mobile & telecommunications,Midrand,South Africa,Africa,2000,$547M,"Blue Label Telecoms, Net1 UEPS Technologies",17,5470000.0,100000000.0
608,China Cloud,$1B,2018-06-11,Hardware,Wuxi,China,Asia,2010,$523M,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management",8,5230000.0,100000000.0
609,CredAvenue,$1B,2022-03-07,Fintech,Chennai,India,Asia,2017,$227M,"Insight Partners, B Capital Group, Lightspeed Venture Partners",5,2270000.0,100000000.0
610,DeepBlue Technology,$1B,2018-04-16,Artificial intelligence,Shanghai,China,Asia,2014,$79M,"DESUN Capital, Yunfeng Capital, Meridian Capital",4,790000.0,100000000.0
611,dMed Biopharmaceutical,$1B,2021-07-12,Health,Shanghai,China,Asia,2016,$214M,"Qiming Venture Partners, Vivo Capital, Sequoia Capital China",5,2140000.0,100000000.0
612,Einride,$1B,2021-12-31,Auto & transportation,Stockholm,Sweden,Europe,2016,$151M,"Temasek, BUILD Capital Partners, Northzone Ventures",5,1510000.0,100000000.0
613,EQRx,$1B,2021-01-11,Health,Cambridge,United States,North America,2020,$700M,"Nextech Invest, Casdin Capital, Google Ventures",1,7000000.0,100000000.0
614,Everly Health,$1B,2020-12-03,E-commerce & direct-to-consumer,Austin,United States,North America,2015,$231M,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures",5,2310000.0,100000000.0
615,Fair,$1B,2018-12-20,Auto & transportation,Santa Monica,United States,North America,2016,$2B,"CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group",2,200000000.0,100000000.0
616,Flipboard,$1B,2015-07-22,Internet software & services,Palo Alto,United States,North America,2010,$211M,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners",5,2110000.0,100000000.0
617,Globality,$1B,2019-01-22,Artificial intelligence,Menlo Park,United States,North America,2015,$310M,SoftBank Group,4,3100000.0,100000000.0
618,Hosjoy,$1B,2018-10-18,E-commerce & direct-to-consumer,Nanjing,China,Asia,2009,$139M,"U.S.-China Green Fund, Founder H Fund, Richland Equities",9,1390000.0,100000000.0
619,Huisuanzhang,$1B,2021-05-24,Fintech,Beijing,China,Asia,2015,$227M,"IDG Capital, Gaocheng Capital, Chuanrong Capital",6,2270000.0,100000000.0
620,HuJiang,$1B,2015-10-29,Edtech,Shanghai,China,Asia,2001,$223M,"China Minsheng Investment, Baidu, Wanxin Media",14,2230000.0,100000000.0
621,Hyperchain,$1B,2021-04-11,Fintech,Hangzhou,China,Asia,2016,$249M,"Yinhong Equity Investment Fund, E Fund, Ideal International",5,2490000.0,100000000.0
622,iTutorGroup,$1B,2015-11-18,Edtech,Shanghai,China,Asia,1998,$315M,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital",17,3150000.0,100000000.0
623,JimuBox,$1B,2015-04-21,Fintech,Beijing,China,Asia,2013,$131M,"Matrix Partners China, Ventech China, Shunwei Capital Partners",2,1310000.0,100000000.0
624,Juma Peisong,$1B,2018-11-26,"Supply chain, logistics, & delivery",Chengdu,China,Asia,2011,$281M,"Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital",7,2810000.0,100000000.0
625,Justworks,$1B,2020-01-28,Internet software & services,New York,United States,North America,2012,$143M,"Index Ventures, Thrive Capital, Bain Capital Ventures",8,1430000.0,100000000.0
626,Keenon Robotics,$1B,2021-09-15,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2010,$229M,"Yunqi Partners, SoftBank Group, iVision Ventures",11,2290000.0,100000000.0
627,Kuaigou Dache,$1B,2018-07-13,"Supply chain, logistics, & delivery",Tianjin,China,Asia,2014,$650M,"Sequoia Capital China, InnoVision Capital, Qianhai Fund of Funds",4,6500000.0,100000000.0
628,LifeMiles,$1B,2015-07-13,Other,Bogota,Colombia,South America,2011,$344M,Advent International,4,3440000.0,100000000.0
629,LinkSure Network,$1B,2015-01-01,Mobile & telecommunications,Shanghai,China,Asia,2013,$52M,,2,520000.0,100000000.0
630,MobiKwik,$1B,2021-10-13,Fintech,Gurugram,India,Asia,2009,$249M,"Sequoia Capital India, The Times Group, GMO VenturePartners",12,2490000.0,100000000.0
631,Modernizing Medicine,$1B,2017-05-10,Health,Boca Raton,United States,North America,2010,$394M,"Warburg Pincus, Summit Partners, Sands Capital",7,3940000.0,100000000.0
632,OVH,$1B,2016-08-15,Other,Roubaix,France,Europe,1999,$1B,"KKR, TowerBrook Capital Partners",17,100000000.0,100000000.0
633,Phenom People,$1B,2021-04-07,Internet software & services,Ambler,United States,North America,2011,$163M,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures",10,1630000.0,100000000.0
634,Pipa Coding,$1B,2021-03-25,Edtech,Beijing,China,Asia,2017,$268M,"Source Code Capital, XVC Venture Capital, Hillhouse Capital Management",4,2680000.0,100000000.0
635,Qingting FM,$1B,2021-06-02,Internet software & services,Shanghai,China,Asia,2011,$164M,"China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group",10,1640000.0,100000000.0
636,Rad Power Bikes,$1B,2021-10-28,Auto & transportation,Seattle,United States,North America,2007,$329M,"Durable Capital Partners, Cercano Management, T. Rowe Price",14,3290000.0,100000000.0
637,Shukun Technology,$1B,2021-08-16,Artificial intelligence,Beijing,China,Asia,2017,$211M,"Marathon Venture Partners, Huagai Capital, China Creation Ventures",4,2110000.0,100000000.0
638,Shulan Health,$1B,2021-03-01,Health,Hangzhou,China,Asia,2015,$43M,Qiming Venture Partners,6,430000.0,100000000.0
639,SITECH DEV,$1B,2019-05-16,Other,Guiyang,China,Asia,2017,Unknown,China Prosperity Capital,2,,100000000.0
640,Snapdeal,$1B,2014-05-21,E-commerce & direct-to-consumer,New Delhi,India,Asia,2008,$2B,"SoftBankGroup, Blackrock, Alibaba Group",6,200000000.0,100000000.0
641,SumUp,$1B,2019-07-16,Fintech,London,United Kingdom,Europe,2011,$1B,"American Express Ventures, Goldman Sachs, Bain Capital Credit",8,100000000.0,100000000.0
642,TalkingData,$1B,2021-01-06,Mobile & telecommunications,Beijing,China,Asia,2013,$310M,"N5 Capital, CR Capital Mgmt, JD Digits",8,3100000.0,100000000.0
643,TUNGEE,$1B,2021-12-15,Artificial intelligence,Guangzhou,China,Asia,2016,$171M,"UNITY VENTURES, Qiming Venture Partners, GGV Capital",5,1710000.0,100000000.0
644,UISEE Technology,$1B,2021-01-25,"Supply chain, logistics, & delivery",Beijing,China,Asia,2016,$154M,"Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures",5,1540000.0,100000000.0
645,Valgen Medtech,$1B,2021-05-06,Health,Hangzhou,China,Asia,2015,$188M,"Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners",6,1880000.0,100000000.0
646,Vectra Networks,$1B,2021-04-29,Artificial intelligence,San Jose,United States,North America,2011,$352M,"IA Ventures, Khosla Ventures, AME Cloud Ventures",10,3520000.0,100000000.0
647,Venafi,$1B,2020-12-10,Cybersecurity,Salt Lake City,United States,North America,2000,$174M,"Pelion Venture Partners, Foundation Capital, Thoma Bravo",20,1740000.0,100000000.0
648,Wacai,$1B,2018-07-18,Mobile & telecommunications,Hangzhou,China,Asia,2009,$369M,"Qiming Venture Partners, China Broadband Capital, CDH Investments",9,3690000.0,100000000.0
649,WeBull,$1B,2021-02-18,Fintech,Changsha,China,Asia,2016,$230M,"Bojiang Capital, Hongdao Capital, Mobai Capital",5,2300000.0,100000000.0
650,WTOIP,$1B,2018-04-08,Internet software & services,Guangzhou,China,Asia,2013,$307M,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital",5,3070000.0,100000000.0
651,Xiaobing,$1B,2021-07-12,Fintech,Beijing,China,Asia,2020,Unknown,"NetEase Capital, Northern Light Venture Capital, Microsoft",1,,100000000.0
652,Xiaoe Tech,$1B,2021-06-15,Internet software & services,Shenzhen,China,Asia,2015,$149M,"GGV Capital, Hillhouse Capital Management, IDG Capital",6,1490000.0,100000000.0
653,Yiguo,$1B,2016-11-09,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2005,$800M,"Alibaba Group, KKR, Goldman Sachs",11,8000000.0,100000000.0
654,Yimidida,$1B,2019-01-14,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2015,$554M,"Source Code Capital, Global Logistic Properties, K2VC",4,5540000.0,100000000.0
655,Yipin Shengxian,$1B,2019-03-11,E-commerce & direct-to-consumer,Hefei,China,Asia,2017,$658M,"Eastern Bell Capital, Capital Today, Longzhu Capital",2,6580000.0,100000000.0
656,Ynsect,$1B,2019-02-21,Other,Evry,France,Europe,2011,$393M,"Astanor Ventures, Upfront Ventures, IDInvest Partners",8,3930000.0,100000000.0
657,Hello TransTech,$1B,2018-06-01,Auto & transportation,Shanghai,China,Asia,2016,$2B,"Ant Financial Services Group, GGV Capital",2,200000000.0,100000000.0
658,Miaoshou Doctor,$1B,2019-06-27,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,$947M,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",4,9470000.0,100000000.0
659,ECARX,$1B,2020-10-26,Auto & transportation,Wuhan,China,Asia,2016,$394M,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund",4,3940000.0,100000000.0
660,Eat Just,$1B,2017-11-30,Consumer & retail,San Francisco,United States,North America,2011,$440M,"Khosla Ventures, Horizons Ventures, Founders Fund",6,4400000.0,100000000.0
661,Trumid,$1B,2020-07-15,Fintech,New York,United States,North America,2014,$660M,"T. Rowe Price, Dragoneer Investment Group, BlackRock",6,6600000.0,100000000.0
662,Qualia,$1B,2020-12-21,Fintech,San Francisco,United States,North America,2015,$160M,"8VC, Menlo Ventures, Tiger Global Management",5,1600000.0,100000000.0
663,Beisen,$1B,2021-05-11,Internet software & services,Beijing,China,Asia,2002,$388M,"Matrix Partners China, Sequoia Capital China, Genesis Capital",19,3880000.0,100000000.0
664,Earnix,$1B,2021-02-21,Fintech,Giv'atayim,Israel,Asia,2001,$98M,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners",20,980000.0,100000000.0
665,Kujiale,$1B,2019-10-25,Internet software & services,Hangzhou,China,Asia,2011,$235M,"GGV Capital, IDG Capital, Linear Venture",8,2350000.0,100000000.0
666,Orca Security,$1B,2021-03-23,Cybersecurity,Portland,United States,North America,2019,$632M,"YL Ventures, Redpoint Ventures, GGV Capital",2,6320000.0,100000000.0
667,Apus Group,$1B,2015-01-16,Mobile & telecommunications,Beijing,China,Asia,2014,$116M,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital",1,1160000.0,100000000.0
668,Forte Labs,$1B,2021-05-12,Fintech,San Francisco,United States,North America,2018,$910M,"Iris Capital, Accel, Elaia Partners",3,9100000.0,100000000.0
669,CureFit,$1B,2021-11-10,Health,Bengaluru,India,Asia,2016,$665M,"Chiratae Ventures, Accel, Kalaari Capital",5,6650000.0,100000000.0
670,DT Dream,$1B,2017-06-08,Data management & analytics,Hangzhou,China,Asia,2015,$267M,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital",2,2670000.0,100000000.0
671,fabric,$1B,2022-02-24,E-commerce & direct-to-consumer,Bellevue,United States,North America,2017,$294M,"Redpoint Ventures, Norwest Venture Partners, Sierra Ventures",5,2940000.0,100000000.0
672,JOLLY Information Technology,$1B,2018-05-29,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2008,$96M,"Legend Capital, CDH Investments, Sequoia Capital China",10,960000.0,100000000.0
673,K Health,$1B,2021-01-19,Health,New York,United States,North America,2016,$271M,"Max Ventures, Mangrove Capital Partners, 14W",5,2710000.0,100000000.0
674,Mofang Living,$1B,2016-04-13,E-commerce & direct-to-consumer,Shanghai,China,Asia,2009,$650M,"Warburg Pincus, Aviation Industry Corporation of China",7,6500000.0,100000000.0
675,Spendesk,$1B,2022-01-18,Fintech,Paris,France,Europe,2015,$314M,"Index Ventures, Eight Roads Ventures, General Atlantic",7,3140000.0,100000000.0
676,TaxBit,$1B,2021-08-04,Fintech,Draper,United States,North America,2018,$236M,"Insight Partners, Coinbase Ventures, PayPal Ventures",3,2360000.0,100000000.0
677,XiaoZhu,$1B,2017-11-01,Travel,Beijing,China,Asia,2012,$572M,"Morningside Ventures, Capital Today, JOY Capital",5,5720000.0,100000000.0
678,Yijiupi,$1B,2018-09-20,Consumer & retail,Beijing,China,Asia,2014,$511M,"Source Code Capital, Meituan Dianping, Tencent Holdings",4,5110000.0,100000000.0
679,YunQuNa,$1B,2021-06-29,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2015,$207M,"Source Code Capital, Coatue Management, DCM Ventures",6,2070000.0,100000000.0
680,Bordrin Motors,$1B,2019-06-03,Auto & transportation,Shanghai,China,Asia,2016,$362M,"China Grand Prosperity Investment, CSC Group",3,3620000.0,100000000.0
681,Aleo,$1B,2022-02-07,Cybersecurity,San Francisco,United States,North America,2019,$228M,"Slow Ventures, Andreessen Horowitz, SoftBank Group",3,2280000.0,100000000.0
682,Coocaa,$1B,2018-03-16,Hardware,Shenzhen,China,Asia,2006,$218M,"Baidu, Tencent Holdings",12,2180000.0,100000000.0
683,Gymshark,$1B,2020-08-14,E-commerce & direct-to-consumer,Solihull,United Kingdom,Europe,2012,$262M,General Atlantic,8,2620000.0,100000000.0
684,M1 Finance,$1B,2021-07-14,Fintech,Chicago,United States,North America,2015,$323M,"Left Lane Capital, Clocktower Technology Ventures, Jump Capital",6,3230000.0,100000000.0
685,Ouyeel,$1B,2019-06-27,Internet software & services,Shanghai,China,Asia,2015,$432M,Taigang Venture Capital,4,4320000.0,100000000.0
686,SonderMind,$1B,2021-07-28,Health,Denver,United States,North America,2014,$183M,"Kickstart Fund, General Catalyst, Drive Capital",7,1830000.0,100000000.0
687,Astranis Space Technologies,$1B,2021-04-14,Mobile & telecommunications,San Francisco,United States,North America,2015,$303M,"Refactor Capital, Andreessen Horowitz, Fifty Years Fund",6,3030000.0,100000000.0
688,Away,$1B,2019-05-15,E-commerce & direct-to-consumer,New York,United States,North America,2015,$181M,"Global Founders Capital, Comcast Ventures, Forerunner Ventures",4,1810000.0,100000000.0
689,Cabify,$1B,2018-01-22,Auto & transportation,Madrid,Spain,Europe,2011,$407M,"Seaya Ventures, Otter Rock Capital, Rakuten",7,4070000.0,100000000.0
690,Clarify Health,$1B,2022-04-05,Health,San Francisco,United States,North America,2015,$328M,"KKR, Aspenwood Ventures, Spark Capital",7,3280000.0,100000000.0
691,Coda,$1B,2021-07-08,Internet software & services,Mountain View,United States,North America,2014,$240M,"Greylock Partners, General Catalyst, Khosla Ventures",7,2400000.0,100000000.0
692,Deezer,$1B,2018-08-02,Internet software & services,Paris,France,Europe,2007,$532M,"Orange Digital Ventures, Access Industries",11,5320000.0,100000000.0
693,Degreed,$1B,2021-04-13,Edtech,Pleasanton,United States,North America,2012,$318M,"Signal Peak Ventures, Owl Ventures, Jump Capital",9,3180000.0,100000000.0
694,Deliverect,$1B,2022-01-24,Fintech,Ghent,Belgium,Europe,2018,$237M,"Newion Partners, SmartFin Capital, OMERS Ventures",4,2370000.0,100000000.0
695,Envoy,$1B,2022-01-11,Internet software & services,San Francisco,United States,North America,2013,$170M,"Andreessen Horowitz, Initialized Capital, TriplePoint Capital",9,1700000.0,100000000.0
696,Epidemic Sound,$1B,2021-03-11,Internet software & services,Stockholm,Sweden,Europe,2009,$509M,"EQT Partners, Blackstone",12,5090000.0,100000000.0
697,Figment,$1B,2021-12-20,Internet software & services,Toronto,Canada,North America,2018,$165M,"Bonfire Ventures, Two Sigma Ventures, FJ Labs",3,1650000.0,100000000.0
698,Firebolt,$1B,2022-01-26,Data management & analytics,Tel Aviv,Israel,Asia,2019,$264M,"TLV Partners, Zeev Ventures, Bessemer Venture Partners",3,2640000.0,100000000.0
